Age,Attrition,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Clusters,Cluster
41,Yes,Sales,1,2,2,Female,2,Sales Executive,Single,5993,Yes,3,8,6,0,5,1,light pink
49,No,Research & Development,8,1,3,Male,2,Research Scientist,Married,5130,No,4,10,10,1,7,0,beige
37,Yes,Research & Development,2,2,4,Male,1,Laboratory Technician,Single,2090,Yes,3,7,0,0,0,1,light pink
33,No,Research & Development,3,4,4,Female,1,Research Scientist,Married,2909,Yes,3,8,8,3,0,1,light pink
27,No,Research & Development,2,1,1,Male,1,Laboratory Technician,Married,3468,No,3,6,2,2,2,1,light pink
32,No,Research & Development,2,2,4,Male,1,Laboratory Technician,Single,3068,No,3,8,7,3,6,1,light pink
59,No,Research & Development,3,3,3,Female,1,Laboratory Technician,Married,2670,Yes,4,12,1,0,0,0,beige
30,No,Research & Development,24,1,4,Male,1,Laboratory Technician,Divorced,2693,No,4,1,1,0,0,2,pink
38,No,Research & Development,23,3,4,Male,3,Manufacturing Director,Single,9526,No,4,10,9,1,8,2,pink
36,No,Research & Development,27,3,3,Male,2,Healthcare Representative,Married,5237,No,3,17,7,7,7,2,pink
35,No,Research & Development,16,3,1,Male,1,Laboratory Technician,Married,2426,No,3,6,5,0,3,2,pink
29,No,Research & Development,15,2,4,Female,2,Laboratory Technician,Single,4193,Yes,3,10,9,0,8,2,pink
31,No,Research & Development,26,1,1,Male,1,Research Scientist,Divorced,2911,No,3,5,5,4,3,2,pink
34,No,Research & Development,19,2,2,Male,1,Laboratory Technician,Divorced,2661,No,3,3,2,1,2,2,pink
28,Yes,Research & Development,24,3,3,Male,1,Laboratory Technician,Single,2028,Yes,3,6,4,0,3,2,pink
29,No,Research & Development,21,4,2,Female,3,Manufacturing Director,Divorced,9980,No,3,10,10,8,8,2,pink
32,No,Research & Development,5,2,1,Male,1,Research Scientist,Divorced,3298,Yes,3,7,6,0,5,1,light pink
22,No,Research & Development,16,2,4,Male,1,Laboratory Technician,Divorced,2935,Yes,3,1,1,0,0,2,pink
53,No,Sales,2,4,1,Female,4,Manager,Married,15427,No,3,31,25,3,7,3,purple
38,No,Research & Development,2,3,4,Male,1,Research Scientist,Single,3944,Yes,3,6,3,1,2,1,light pink
24,No,Research & Development,11,2,1,Female,2,Manufacturing Director,Divorced,4011,No,3,5,4,1,3,1,light pink
36,Yes,Sales,9,4,3,Male,1,Sales Representative,Single,3407,No,4,10,5,0,3,1,light pink
34,No,Research & Development,7,4,1,Female,3,Research Director,Single,11994,No,3,13,12,2,11,1,light pink
21,No,Research & Development,15,2,3,Male,1,Research Scientist,Single,1232,No,3,0,0,0,0,1,light pink
34,Yes,Research & Development,6,1,2,Male,1,Research Scientist,Single,2960,No,3,8,4,1,3,1,light pink
53,No,Research & Development,5,3,3,Female,5,Manager,Divorced,19094,No,3,26,14,4,8,3,purple
32,Yes,Research & Development,16,1,2,Female,1,Research Scientist,Single,3919,Yes,4,10,10,6,7,2,pink
42,No,Sales,8,4,3,Male,2,Sales Executive,Married,6825,No,3,10,9,4,2,0,beige
44,No,Research & Development,7,4,1,Female,3,Healthcare Representative,Married,10248,No,3,24,22,5,17,3,purple
46,No,Sales,2,4,2,Female,5,Manager,Single,18947,No,3,22,2,2,1,0,beige
33,No,Research & Development,2,3,3,Male,1,Laboratory Technician,Single,2496,No,3,7,1,0,0,1,light pink
44,No,Research & Development,10,4,4,Male,2,Healthcare Representative,Married,6465,Yes,3,9,4,1,3,0,beige
30,No,Research & Development,9,2,4,Male,1,Laboratory Technician,Single,2206,No,3,10,10,1,8,1,light pink
39,Yes,Sales,5,3,4,Male,2,Sales Representative,Married,2086,No,3,19,1,0,0,1,light pink
24,Yes,Research & Development,1,3,2,Male,1,Research Scientist,Married,2293,Yes,3,6,2,2,0,1,light pink
43,No,Research & Development,2,2,4,Female,1,Research Scientist,Divorced,2645,No,3,6,5,1,4,1,light pink
50,Yes,Sales,3,2,1,Male,1,Sales Representative,Married,2683,Yes,3,3,3,0,2,0,beige
35,No,Sales,2,3,4,Female,1,Sales Representative,Married,2014,No,3,2,2,2,2,1,light pink
36,No,Research & Development,5,4,2,Female,1,Research Scientist,Married,3419,Yes,3,6,1,0,0,1,light pink
33,No,Sales,1,3,3,Female,2,Sales Executive,Married,5376,No,3,10,5,1,3,1,light pink
35,No,Research & Development,4,2,3,Male,1,Laboratory Technician,Divorced,1951,No,3,1,1,0,0,1,light pink
